Date,Open,High,Low,Close,Volume,Change,Symbol
2021-05-24,9615,9615,9615,9615,0,,570058
2021-05-25,9615,9615,9615,9615,0,0.0,570058
2021-05-26,9550,9550,9465,9465,5,-0.015600624024960985,570058
2021-05-27,9625,9625,9625,9625,0,0.016904384574748965,570058
2021-05-28,9620,9620,9620,9620,0,-0.0005194805194804752,570058
2021-05-31,9465,9465,9420,9420,3,-0.02079002079002079,570058
2021-06-01,9405,9405,9295,9295,7,-0.013269639065817462,570058
2021-06-02,9570,9570,9570,9570,0,0.029585798816567976,570058
2021-06-03,9510,9510,9510,9510,0,-0.006269592476489061,570058
2021-06-04,9725,9725,9725,9725,0,0.02260778128286023,570058
2021-06-07,9620,9620,9620,9620,0,-0.010796915167095134,570058
2021-06-08,9555,9555,9555,9555,0,-0.006756756756756799,570058
2021-06-09,9620,9620,9620,9620,0,0.006802721088435382,570058
2021-06-10,9575,9575,9575,9575,0,-0.004677754677754664,570058
2021-06-11,9365,9365,9365,9365,0,-0.02193211488250657,570058
2021-06-14,9545,9545,9530,9530,4,0.017618793379604814,570058
2021-06-15,9535,9535,9525,9525,2,-0.0005246589716684236,570058
2021-06-16,9560,9560,9560,9560,0,0.0036745406824147953,570058
2021-06-17,9895,9895,9895,9895,1,0.03504184100418417,570058
2021-06-18,10325,10325,10225,10225,10,0.03335017685699859,570058
2021-06-21,10475,10525,10475,10525,2,0.02933985330073341,570058
2021-06-22,10365,10365,10365,10365,0,-0.015201900237529653,570058
2021-06-23,10425,10425,10425,10425,0,0.005788712011577379,570058
2021-06-24,10375,10375,10375,10375,0,-0.004796163069544335,570058
2021-06-25,10215,10215,10215,10215,0,-0.015421686746987961,570058
2021-06-28,10225,10225,10225,10225,0,0.0009789525208028227,570058
2021-06-29,10250,10250,10250,10250,0,0.0024449877750611915,570058
2021-06-30,10340,10340,10340,10340,2,0.008780487804878057,570058
2021-07-01,10230,10230,10225,10225,2,-0.011121856866537772,570058
2021-07-02,10320,10320,10320,10320,0,0.00929095354523235,570058
2021-07-05,10095,10095,10090,10090,164,-0.022286821705426396,570058
2021-07-06,10075,10075,10060,10060,4,-0.0029732408325073845,570058
2021-07-07,10215,10215,10215,10215,0,0.015407554671968082,570058
2021-07-08,10385,10385,10385,10385,6,0.016642192853646653,570058
2021-07-09,10550,10550,10550,10550,0,0.015888300433317237,570058
2021-07-12,10465,10465,10465,10465,0,-0.00805687203791472,570058
2021-07-13,10325,10325,10325,10325,0,-0.013377926421404673,570058
2021-07-14,10425,10425,10425,10425,0,0.009685230024213176,570058
2021-07-15,10265,10265,10265,10265,0,-0.01534772182254196,570058
2021-07-16,10280,10280,10280,10280,0,0.00146127618119829,570058
2021-07-19,10580,10580,10580,10580,1,0.029182879377431803,570058
2021-07-20,10815,10815,10815,10815,0,0.022211720226843035,570058
2021-07-21,10860,10860,10860,10860,0,0.004160887656033285,570058
2021-07-22,10800,10800,10800,10800,0,-0.0055248618784530246,570058
2021-07-23,10700,10700,10700,10700,0,-0.0092592592592593,570058
2021-07-26,10830,10830,10830,10830,0,0.012149532710280297,570058
2021-07-27,10815,10815,10800,10800,4,-0.0027700831024930483,570058
2021-07-28,11065,11065,11010,11010,5,0.019444444444444375,570058
2021-07-29,10725,10725,10725,10725,0,-0.02588555858310626,570058
